text_a,label
"Says the Internal Revenue Service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul.",5
"""There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.""",5
"Since Obamacare became law, ""most of our new jobs have been part-time jobs.""",5
"""I sponsored the amendment that expanded the hours of early voting so that people who have irregular work schedules could vote.""",1
"Says ""there are actually more people in poverty now than there were when we started"" the War on Poverty.",3
"""I've taken on the federal government and won.""",0
"Says Donald Trump has outlined ""policies that read like a Kremlin wish list.""",3
"""With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a ‘proven success’.""",4
Says veterans’ disability claims backlog doubled in Obama’s first term.,0
"A proposed mine in Wisconsin is ""about two-thirds the size of Lake Winnebago.""",4
"On financial reform, there is ""a million dollars being spent, per congressman, in lobbying expenses on this issue. (The) industry has four lobbyists per member of the House and Senate working on this.""",3
"Says Kobe Bryant and his daughter, Gianna, were both born Aug. 23.",5
Says Mary Landrieu voted to fund benefits for illegal immigrants ahead of veterans.,2
"The House health care bill pays for ""about six years of program with a decade of revenue, with the heaviest costs concentrated in the second five years.""",1
"""The First Amendment’s the First Amendment. It goes start to finish. We can’t say to one football coach you’re fired if you kneel in silent prayer at the end of the game, but to a player, if you kneel in protest to a game, you’re celebrated.""",1
"Says that President Obama said that ""Small Businesses Succeed Because of Government.""",5
"The Ukraine Orange Revolution in 2004 ""was the first color revolution.""",5
"""Prayer rugs have recently been found on the Texas side of the border in the brush.""",2
"The partial government shutdown in early 2019 affected ""18,000 federal employees in West Virginia.""",3
"Florida retirees and families ""lost tens of thousands of dollars"" in deposits on failed Trump condo projects, but he ""pocketed their money and walked away.""",1
"Says Hillary Clinton ""has been saying lately that she thinks that I am, 'not qualified to be president.' """,4
Says Bill White is refusing to debate.,2
"Says J. David Cox, ""the boss"" of the jail guards ""who were supposed to keep"" suspected sex trafficker Jeffrey Epstein alive, is also ""friends with Bill and Hillary Clinton.""",5
"""Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.""",3
"""Right now, we only keep 50 percent of Georgia Tech's graduates.""",3
"""Pads and tampons (are) still taxed when Viagra and Rogaine are not.""",1
"Says Gov. Rick Scott lost Florida 331,247 jobs.",2
"Says Jeb Bush ""doesn't believe in a path to citizenship. If he did at one time, he no longer does.""",3
“‘Private’ messages sent to individual people during a Zoom meeting show up in the end-of-meeting transcript along with all other public messages.”,1
"Says Milwaukee County Executive Chris Abele ""eliminated"" sheriff’s office funding for providing security for presidential and presidential campaign visits.",1
"The Chilean ""privatization scheme"" that Sharron Angle supports ""has resulted in hidden fees, fewer benefits, and millions of people with no coverage.""",4
"The Associated Press called Charlie Crist's attacks ""over the top,"" ""out of context,"" and ""not true.""",0
"A study ""from the Massachusetts Institute of Technology, Harvard, and Dartmouth concluded that Medicaid’s value to its beneficiaries is significantly lower than the actual cost of the program.""",1
"Savannah is home to ""the fastest-growing port in the nation.""",3
"After prenatal diagnosis, ""90 percent of Down syndrome children in America are aborted.""",1
Most state employees could pay twice as much toward their health care premiums and it would still be half the national average,0
"""The Earth is not warming.""",2
Aaron Bean voted to give illegal immigrants in-state tuition.,3
"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",4
"""Over the last two years, the number of murders in America and America’s major cities has dropped, unlike here (Chicago), by more than 10%.""",2
"""More Tennesseans have hunting and fishing licenses than vote.""",5
"Says ""We do about 300 investigations a year into housing discrimination and in recent years have put about $150,000 of damages into the pockets of individuals who have been treated unfairly.""",5
"Republican challenger Bill Flores ""has never once voted  in a general election in our district.""",0
"Says Mitt Romney said he does not ""line up with the NRA.""",0
"The New York Times ""had to retract"" its story that Hillary Clinton’s email handling had broken certain laws.",5
"Commerce Secretary nominee John Bryson ""appears to endorse world government.""",5
"GOP candidate for California governor Travis Allen ""on the floor vote … refused to join Republicans opposing driver licenses for illegal aliens.""",1
"""One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.""",4
"""New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.""",5
Cities like Seattle have decided to ban food carts.,4
"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks.",4
"On how he measures his promise to create 700,000 private-sector jobs in seven years.",5
"""Jobs that involve the minimum wage are overwhelmingly jobs for young people starting out in the workforce.""",5
"Judithanne McLauchlan ""was part of a group that supports imposing a state income tax on Floridians.""",4
Says George Soros was arrested in Switzerland for a web of crimes based on information provided by Barack Obama.,2
"""When two judges said it was illegal to fire a teacher"" who viewed pornography at school, ""Tony Evers worked with Republicans and Democrats and changed the law.""",1
"Says 80% of novel coronavirus cases are ""mild.""",3
Says 80 journalists have been killed in Mexico in the last decade.,1
"""Our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession.""",0
"Says Donald Trump ""said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.""",3
"""Mr. Warren compared same-sex couples to incest.""",4
"""There are over 200 documented cases where (Obama) has lied.""",2
"Says Werner Herzog said, ""Dear America: You are waking up, as Germany once did, to the awareness that 1/3 of your people would kill another 1/3, while 1/3 watches.""",5
"""I’ve never supported legislation that invades people’s choices about contraception.""",1
"""Donald Trump Protester Speaks Out: 'I Was Paid $3,500 To Protest Trump's Rally.' """,2
"Greg Abbott ""heads up a party whose platform calls for the repeal of the Voting Rights Act.""",3
On offshore drilling.,1
"Even with no shutdown, Sweden has a lower COVID-19 infection rate than UK, Italy and Spain.",1
"""Fourth grade reading and math scores, first in the nation. Eighth grade reading, first. High school AP classes and college education, both ranked first in the nation.""",4
"""Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we don't need federal standards.""",1
"""Invested $90 million in traffic fixes without raising taxes.""",1
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use ""untrained corrections officers"" rather than deputies to patrol the lakefront.",4
"""Our university campuses by federal law do not check the immigration status of their students just as our public schools don’t.""",4
Says President Abraham Lincoln enforced the Fugitive Slave Act until the Civil War ended.,4
"In every ethics case that has resulted in a formal sanction, ""there's been an investigative subcommittee that's been established first.""",1
"""The black unemployment rate (has) increased since the recovery has begun.""",0
"""The Trans-Pacific trade deal could cost America 448,000 more jobs.""",1
"""More businesses went out of business last year than were started for the first time in our history.""",5
"Horse racing could boost Georgia's economy by $1 billion a year and create 10,000 to 20,000 jobs.",4
"""Most of the state budget isn't for state government doing things. ... 85 percent of the state budget is transferred to local communities for delivery of service.""",3
"The oceans ""have become 30 percent more acidic.""",3
"""Hunters contribute more than $500 million"" to West Virginia.",3
"Barack Obama ""cut taxes for working families.""",3
"Building and running the Atlanta Streetcar is projected to create 1,399 jobs.",5
"Says PolitiFact says Amendment 4 ""will force counties and cities across Florida to raise taxes and fees.""",2
"Says Scott Walker cut funding to local governments in Wisconsin, contributing to the ""second-largest increase in violent crime"" in the Midwest.",1
"Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do.",5
"""Whoopi Goldberg humiliated, handcuffed and dragged out of the TV studio.""",2
"In America, ""more people die from"" prescription narcotic painkillers ""than from heroin and cocaine combined.""",1
"""This rule could prevent children under 18 from using such tools as a power screwdriver, a milking machine or something as simple as a wheelbarrow on the family farm . . . """,4
"The state of Wisconsin pays plumbers, engineers and other attorneys ""much, much more"" than it pays attorneys to represent poor people.",3
"Says Nancy Pelosi spent ""$497 Million on office renovations"" during the government shutdown.",2
"""Ted Cruz has been to Iowa four times. Rio Grande Valley of Texas -- just once.""",0
"""Sen. Rubio’s (tax plan) would cut taxes for households making around $3 million a year by almost $240,000, which is way more than three times the earnings of a typical family.""",3
“Coronavirus — 22. Clintons — 39.”,2
"""Susan Rice arrested for criminal ‘unmasking’ of Trump officials.""",2
"""No fracking waste is being dumped in New York State""",5
"""Did you know Wisconsin's AFSCME union has lost 50%+ of its members since no longer requiring membership?""",3
"""Hillary Clinton has third heart attack — docs says she ‘won’t survive’.""",2
"Says Ted Cruz said: ""While there may have been an age difference, Josh Duggar’s transgressions are far less an affront to God than what gays do to each other.""",2
"Says state Sen. Steve Ogden was the ""driving force behind business income tax hurting small business, crafted the Robin Hood school finance scheme making property taxes skyrocket, wrote a budget that will result in a $14 billion deficit and voted against"" gun freedoms.",5
"""Gasoline would rise in price by approximately 50 cents a gallon"" if the McCain-Lieberman bill became law.",4
"""In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.""",5
"""Illegal aliens are costing Georgia taxpayers over a billion dollars every year.""",1
"A bill backed by Sean Duffy and other House Republicans ""could actually require the Internal Revenue Service to conduct audits of rape victims"" who get an abortion.",5
"Says Bernie Sanders ""did not mention race or gender until 23 minutes into this speech"" announcing his 2020 presidential run.",5
Says Texas retained the right to have a navy when it joined the United States.,2
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",4
Says she hasn’t taken corporate PAC money “since 2016.”,5
"Says Miami-Dade mayoral candidate Julio Robaina ""has the highest salary among Florida mayors. More than $260,000.""",1
"""The top 25 hedge fund managers (are) making more than all of America's kindergarten teachers combined.""",0
"Says Proposition 205 ""blocks market entry"" for new marijuana dispensaries.",4
"""President (Donald) Trump pardons Kim Davis.""",2
"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain",4
"""There was no surge in 501(c)(4) applications in 2010.""",0
"""America owns 3 percent of the world’s oil but consumes 25 percent of its global reserves.""",3
Says Mitt Romney’s investments created zero jobs.,2
"""In the last 10 years, only one piece of legislation has been cosponsored and passed by"" John Duncan Jr.",2
"""I was speaking out on pension reform almost 17 years ago.""",3
"""I have not said that I was a single-payer supporter.""",5
"Even a 100 percent tax on millionaires would only fund four months of government operations, failing to seriously address budget deficits and debt.",1
"""Rick Perry has become a millionaire on the public payroll.""",3
"The U.S. has ""5 percent of the world’s population, 25 percent of the world’s known prison population.""",0
"Florida state senators ""are pushing a new government program that allows prescription drugs from China without FDA inspection.""",5
"Providence has ""amongst the highest tax rate(s) in the entire country.""",3
"""North Dakota's economy is reeling.""",2
"""Obama’s flush with cash, returning to Wall Street for even more money. … Wall Street sure supports President Obama.""",4
"""California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.""",0
"Says. Rep. Joe Barton, R-Texas, once said, ""Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.""",4
"Says ""your Legislative Assembly was within one vote of enacting each of those bills into Oregon law.""",5
"""Here are some of the things that are more popular than Congress: hemorrhoids, Nickelback, traffic jams, cockroaches, root canals, colonoscopies, herpes. Even herpes, they couldn’t beat herpes in the polls.""",3
"Graduation rates in Buffalo’s school district, which were ""around 48 percent are now up to 64 percent"" since Say Yes Buffalo launched.",0
Says that he’s responsible for Austin including Anderson Mill Road in the city's proposed transportation bond package.,4
"Says ""46 percent of people believe major national news organizations fabricate stories about me.""",1
"""Wendy Davis has already taken more $ from teacher unions than the past 3 Democrat gubernatorial candidates combined.""",4
"""Oil companies can obtain an acre of public land for less than the price of a Big Mac.""",3
"""The facts show that approximately 40 persons on death row have had all of their appellate review completed and await only the governor's signature on a death warrant to end the case.""",0
"""[The] ACLU and atheists in Denver are demanding the NFL stop [Tim Tebow] from praying on the sidelines.""",2
"""It is more difficult to obtain a Costco membership than it is to get a NYC Municipal ID""",2
"Says pre-cut onion used to cook the following day ""becomes highly poisonous for even a single night and creates toxic bacteria which may cause adverse stomach infections because of excess bile secretions and even food poisoning.""",2
"""Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.""",0
"""I released the most extensive financial review of anybody in the history of politics. … You don't learn much in a tax return.""",5
"""I was never against same-sex marriage.""",3
"""In terms of the wealthiest Americans, we're at the lowest tax rate since the 1950s.""",3
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",5
Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,0
"""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law…""",5
"""I never proposed privatizing the (Milwaukee County) airport.""",0
Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years’ worth of Austin’s water use.,0
"Says Senate candidate Katie McGinty ""made thousands from companies she previously regulated.""",0
"Coca-Cola’s CEO ""said he finds it easier to do work in China than in the United States.""",1
"""We now know these firms are unwilling to put up any private money,"" for California's high-speed rail project.",4
"""The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.""",4
"""The top 0.1 percent ... own about the same wealth as 90 percent of America.""",3
The highest paid employee of the State of Rhode Island is a basketball coach.,0
"Says Travis County Sheriff Greg Hamilton has accepted $42,000 from strip-club interests and $10,000 from local alcohol distributors.",3
"""On the personal tax side, middle-income people are getting cuts and rich people are getting very little cuts or, in certain cases, increases"" under the Republican tax bills.",1
"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.""",3
"Michelle Nunn ""spent most of her childhood"" in Perry, Ga.",4
"Says he has supported ""George Bush more than I have Barack Obama.""",5
"Says Gov. Andrew Cuomo is ""stealing money from the MTA and sending it upstate for projects that have nothing to do with transit.""",5
"Every illegal immigrant ""can be eligible for up to $36,000 to $38,000 in earned income tax credits without paying a dime in.""",5
"Says a car driving former University of Missouri System President Tim Wolfe ""ran through the students, hit one of them"" at the MU Homecoming Parade.",4
Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).,3
"""There is already a mosque four blocks away.""",0
"""Not one Democrat showed up to listen to border officials about the dangerous situation at our border. Not one!!! NOT ONE!""",5
"""My opponent, Rick Gunn, blocked the expansion of Medicaid — costing half a million people health insurance, including at least 23,000 veterans.""",3
Says his tax plan wouldn't leave the federal government with a $1.1 trillion hole.,5
"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",3
"""Turkeys today weigh 29.8 pounds. In the ‘30s, they weighed 13.2 pounds.""",0
"The Romney-Ryan plan for Medicare ""does not affect"" benefits for anyone 55 or older.",1
"Says Hillary Clinton ""completely ignored"" ""dozens and dozens of requests for more security"" for the Benghazi consulate.",1
"""Anyone who knows you can just"" look it up to ""see if you voted.""",1
"""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""",1
Georgia has one of the nation’s highest jet fuel taxes.,3
"As Milwaukee County executive, Scott Walker ""eliminated the waiting list for long-term care for older adults through the Family Care program.""",4
Uber and other ride-share firms are not required to carry auto insurance under Georgia law.,0
"""Before taking executive action on immigration, President Obama stated 22 times that he does not have the authority to change immigration laws on his own.""",3
"""1 in 100 people are sociopaths.""",3
"Says Tammy Baldwin’s ""Medicare for All"" plan means senior citizens would ""no longer have"" Medicare.",4
"Sens. Mark Warner and Tim Kaine voted ""to let the U.N. take OUR guns.""",2
"When Roy Barnes was governor, ""Georgia created 235,000 jobs.""",1
"""Nearly 100,000 people get shot every year. That's 270 people a day and 87 dead.""",3
"Recommendations for a major tax overhaul for Georgia are an ""overall tax hike.""",4
"Says Claire McCaskill ""even said this about private planes, ‘that normal people can afford it.’""",1
"The Obama administration ""has been constrained by the Oil Pollution Act of 1990, which basically gives the responsible party the lead role in trying to not only fix the problem, but contain the problem.""",5
"""In campaigns in the past with Sen. McCain and President George W. Bush and others, they have tended to release tax records in April.""",1
"""Florida ranks last in the ratio of employees to residents... And Florida is dead last in the nation in state employee payroll expenditures per resident.""",0
"Says Gerald Daugherty advocated lowering the penalty for crimes like strangulation in domestic violence cases because ""they just ‘throw more people into the’"" jail ""‘system.""",4
"""Natalyn Archibong skipped (Atlanta) City Council meetings or was late 90% of the time. Then she voted herself a pay raise.""",4
"""There's still about $400 billion or $500 billion of the stimulus plan that has not been spent. Why don't we stop it.""",5
"""If the Dow Joans ever falls more than 1000 ‘points’ in a Single Day the sitting president should be 'loaded' into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses!""",2
"Says Donald Trump called pregnant employees ""an inconvenience.""",0
"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",0
"""President Trump signed legislation to clean up millions of tons of trash from our oceans and lakes last week.""",5
"Says private-sector job growth in 2011 ""places New Jersey in the top third among all of the states.""",1
"""We're the highest developed nation taxed in the world.""",5
"""The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.""",4
"""NAFTA allows a lot of trucks from Mexico, for example, to leave there and ... drive straight through without even being inspected.""",4
Half of Oregon university students are on Pell Grants.,3
"The media â€œpulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.""",2
"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",0
"Says Andrew Gillum was ""singing a different tune"" about charter schools at the Florida debate.",3
Says recent polls show Americans agree with Republicans that the federal debt ceiling should not be raised and the debt and deficit should be dealt with mostly by cutting spending.,3
“Italy has decided not to treat their elderly for this virus.”,4
"Says ""Brenda Snipes in Broward County is a Republican.""",5
"Says with Jon Corzine, ""it's the first time, I think, in history where a former Senator has been subpoenaed to testify before his former colleagues.""",0
"The Employee Free Choice Act mandates the ""elimination of the secret ballot.""",3
"""This week the House of Representatives voted to remove the word ‘lunatic’ from federal law.""",0
"""Taxpayers are paying a fortune for the use of Air Force One on the campaign trail"" by President Barack Obama and Hillary Clinton.",3
"""Barack Obama is in an economy that's only worsened since he's been president of the United States.""",1
"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""",2
"""Three of our cities are among the top five worst cities in the U.S. for asthma.""",0
"Says there’s ""never (been) so many apprehensions ever in our history.""",5
"Says ""political interference"" from Scott Walker’s administration has led to ""gagging (DNR) scientists so they can no longer comment on proposed legislation"" and ""we’re letting polluters write their own permits.""",4
"Democrats have said that ""even one hearing (on the stimulus bill) would be one too many, and that we have a single day to approve these five complex propositions that will affect the lives of millions.""",0
"""[The state ethics commission] took absolutely the same percent of cuts as most other state agencies. … They were somewhere in the 7 percent range – same as the governor’s office.""",0
"Says his father, Fred Trump, was ""born in a very wonderful place in Germany.""",2
"Spending increases, not tax cuts, are the major cause of the federal budget deficit.",3
"Rhode Island ""didn't ratify the 13th Amendment to the Constitution to pay federal income taxes. So Rhode Island doesn't even have to pay federal income taxes.""",2
"Obama ""has no experience or background at all in national security affairs.""",5
"Says Dr. Robert Gallo, the man who helped discover the HIV virus, confessed he was ""forced"" to ""create the HIV virus as a secret weapon to wipe out the African race.""",2
"A national poll found that among people who oppose the Democratic health care reform bill, ""almost 40 percent"" opposed it not because it goes too far, but because ""they don’t think it goes far enough. ... They will not be unhappy when we pass health care reform.""",1
"""Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists.""",1
"""There were more people at the Air and Space Museum"" than at a rally against the health care bills.",1
"""We continue to see these isolated incidents of people trying to vote five, six times a day.""",5
"""The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... it’s fair to say the science is in dispute.""",5
Says his Twitter account has 1.3 million followers.,4
"Refugee ""vetting was very haphazard,"" under the Obama Administration. ""In many cases, we simply accepted the word of applicants.""",4
"Says Arabic ""is the third most-common language in Austin.""",5
David Perdue said he’d raise taxes.,1
"A proposed U.S. Labor Department rule for children working on farms ""would even ban youth from operating a battery-powered screwdriver or a pressurized garden hose.""",4
"Says Kansas U.S. House candidate Paul Davis was caught with a stripper during a drug raid and later voted to ""allow strip clubs to open near homes, churches, schools and daycare facilities.""",1
"""For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.""",0
"""We have the lowest percentage of Americans working today of any year since 1977.""",3
"Says Planned Parenthood CEO Cecile Richards was ""forced to concede that 86 percent of Planned Parenthood’s revenue is from abortion.""",5
"The United States has ""the most number of deductions available to corporations"" for the corporate income tax.",5
"""The total unemployment rate for Hispanic or Latino workers has increased from 10% to 10.3%"" between January 2009 and March 2012.",4
"""The Florida Legislature has not filed a lawsuit to fight Amendments 5 and 6.""",4
"""When Marcy Kaptur brought home $42 million for new manufacturing jobs, Dennis Kucinich voted 'no'.""",1
"A three-cents-per-ounce soda tax in Philadelphia ""would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.""",5
"""America’s least-trusted news sources are also its most popular.""",1
"""Under Barack Obama the last two years, the number of federal limousines for bureaucrats has increased 73 percent.""",4
"""The average margin of victory in the House of Representatives was 37%"" for Democrats and Republicans in the 2016 election.",0
"When it comes to taking cuts in tough budget times, Wisconsin ""state workers haven’t had to sacrifice.""",4
"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",3
"Says Rick Scott ""spent $800,000 of your tax dollars upgrading the Governor's Mansion.""",1
"""The governor won this state with 49 percent. We had some of the closest races in the House in history. So you’re not dealing with this 70-30, like they want to make it.""",3
"""Alexi Giannoulias' top aide was a longtime BP lobbyist.""",4
"Says Julia Roberts told Celine Dion, ""If you hate Trump you can go in your country.""",2
"""Texas remains one of the most severely impacted states from drug trafficking. Nearly 3,000 Texans died from drug related deaths in 2017 – with half being overdoses involving opioids.""",1
"""Two-thirds of the people who receive the minimum wage are female.""",3
"""We already have $23 billion worth of debt.""",0
"Says country hip-hop star Lil Nas X was ""dropped from Wrangler endorsement"" after coming out of the closet.",2
