text_a,label,entity
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,1,"jerry-patterson,state land commissioner,republican,texas,homeland-security,terrorism"
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,2,"bernie-s,u.s. senator,independent,vermont,diversity,economy,jobs"
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",4,"chain-email,unk,none,unk,health-care,immigration"
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,1,"john-boehner,speaker of the house of representatives,republican,ohio,deficit,federal-budget"
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,4,"katrina-pierson,unk,republican,unk,iraq,military"
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,5,"blog-posting,unk,none,unk,patriotism"
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0,"rick-perry,governor,republican,texas,health-care,states"
"Maggie Hassan raised tuition, making it the highest in America.",0,"national-republican-senatorial-committee,unk,republican,unk,education"
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,1,"ken-cuccinelli,attorney general,republican,virginia,campaign-finance,ethics,history"
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",5,"andrew-cuomo,governor,democrat,new york,jobs"
"We have towns in West Texas that are out of water, that are having to truck in water.",0,"sid-miller,state agriculture commissioner,republican,texas,water"
"In Georgia, women earn 82 cents for every dollar earned by men.",2,"jim-barksdale,senate candidate,democrat,georgia,jobs,women"
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,2,"david-raynor,senior vice president, government affairs, georgia chamber of commerce,none,georgia,immigration"
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",0,"donald-trump,president-elect,republican,new york,immigration"
Sen. Obama's campaign announced that he's choosing his cabinet.,1,"john-mccain,u.s. senator,republican,arizona,elections"
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",3,"battleground-texas,unk,democrat,texas,elections,population"
Only 2 percent of public high schools in the country offer PE classes.,1,"michelle-obama,unk,democrat,illinois,education,health-care"
"Said he's the only Republican candidate ""who's actually turned around a government economy.""",3,"rudy-giuliani,attorney,republican,new york,job-accomplishments"
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",5,"john-barrasso,senator,republican,wyoming,education,gays-and-lesbians,kagan-nomination,military,supreme-court"
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",3,"empower-texans,unk,none,texas,education,message-machine,taxes"
"Under Mayor Cicilline, [Providence] was a sanctuary city.",1,"john-depetro,talk-show host,talk-show-host,rhode island,history,homeland-security,immigration,legal-issues,pundits"
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,4,"garnet-coleman,president, ceo of apartments for america, inc.,democrat,texas,corrections-and-updates,crime,criminal-justice,sexuality"
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",5,"mitt-romney,former governor,republican,massachusetts,candidates-biography,job-accomplishments"
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",1,"donald-trump,president-elect,republican,new york,civil-rights,elections,terrorism"
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,0,"michael-opitz,unk,republican,georgia,criminal-justice,terrorism"
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,0,"rick-scott,governor,republican,florida,economy,financial-regulation,message-machine"
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",5,"terry-mcauliffe,governor,democrat,virginia,jobs"
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",0,"mitt-romney,former governor,republican,massachusetts,housing,message-machine-2012"
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",3,"alfredo-gutierrez,former state senator,democrat,arizona,immigration,legal-issues"
The only time in our history when the debt has been higher than this was the end of World War II.,3,"david-cote,president and ceo of honeywell international,none,unk,debt"
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,3,"barack-obama,president,democrat,illinois,deficit,federal-budget,health-care"
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",5,"george-will,columnist,columnist,maryland,economy,abc-news-week"
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,1,"elena-kagan,u.s. solicitor general,democrat,new york,kagan-nomination,supreme-court"
Says one out of three U.S. homeless men is a veteran.,0,"texas-veterans-commission,unk,none,unk,poverty,veterans"
Says Charlie Crist supports cuts to the Medicare Advantage program.,1,"republican-party-florida,unk,republican,unk,health-care,medicare"
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,2,"maurice-ferre,former mayor of miami,democrat,florida,energy"
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,5,"jeanne-shaheen,senator,democrat,new hampshire,health-care,legal-issues,women"
"At some point in their lives, 99% of women use birth control.",2,"susan-happ,jefferson county district attorney,democrat,wisconsin,sexuality"
"In the past 20 years, Egypt has made great strides in political and democratic reform.",1,"sameh-shoukry,unk,none,unk,foreign-policy,abc-news-week"
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,1,"karl-rove,unk,republican,texas,terrorism,transportation"
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,5,"gwen-graham,unk,democrat,florida,federal-budget"
"In Rick Perrys Texas, we import nurses ... from other countries.",2,"bill-white,former mayor of houston,democrat,texas,health-care"
There is a federal criminal law that says its a crime to transport dentures across state lines.,3,"bob-goodlatte,u.s. congressman,republican,virginia,public-health"
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,3,"cory-booker,u.s. senator,democrat,new jersey,crime,criminal-justice"
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",0,"joe-biden,u.s. senator,democrat,delaware,taxes"
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,1,"jim-skaggs,treasurer, citizens against rail taxes,none,texas,city-budget,city-government,taxes"
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",1,"john-mccain,u.s. senator,republican,arizona,immigration"
I belong to the AFL-CIO.,5,"rick-perry,governor,republican,texas,candidates-biography,labor"
The insurance commissioner cant do squat about health care.,3,"ralph-hudgens,unk,republican,georgia,health-care"
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,2,"mitt-romney,former governor,republican,massachusetts,polls"
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",0,"mitt-romney,former governor,republican,massachusetts,foreign-policy,history,military"
Says David Jolly supports privatizing Social Security.,0,"florida-democratic-party,unk,democrat,florida,social-security"
Did you know US population growth is at its lowest since the Great Depression?,5,"robert-sarvis,lawyer, businessman,libertarian,virginia,immigration,population"
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",3,"will-weatherford,state representative,republican,florida,education"
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",5,"mark-shields,columnist and commentator,none,washington, d.c.,guns"
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,3,"national-association-realtors,unk,none,unk,housing"
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,1,"brady-campaign-prevent-gun-violence,unk,none,unk,guns"
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",4,"federal-transit-administration,unk,none,unk,transportation"
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",3,"alison-lundergan-grimes,secretary of state,democrat,kentucky,income,message-machine-2014,poverty"
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",3,"mitch-mcconnell,senate minority leader,republican,kentucky,foreign-policy,history,terrorism"
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",1,"donald-trump,president-elect,republican,new york,foreign-policy,military,terrorism"
Sen. Obama has always had a 100 percent prochoice rating.,5,"barack-obama,president,democrat,illinois,abortion"
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",2,"frank-caprio,r.i. general treasurer,democrat,rhode island,candidates-biography,economy,pensions,retirement,state-finances,wealth,workers"
The (federal) debt is growing by more than $4 billion a day.,5,"rick-perry,governor,republican,texas,deficit,economy,federal-budget"
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",2,"david-scott,congressman ,democrat,georgia,jobs"
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",1,"terry-mcauliffe,governor,democrat,virginia,education,retirement"
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,3,"scott-walker,milwaukee county executive,republican,wisconsin,government-regulation,jobs,poverty,welfare"
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",2,"ron-johnson,unk,republican,wisconsin,corporations,economy,health-care,public-health,workers"
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",2,"donna-brazile,political commentator,democrat,washington, d.c.,elections,taxes"
Says Obama promised unemployment would never go above 8 percent.,0,"paul-ryan,u.s. representative,republican,wisconsin,jobs"
The economy is creating jobs at the fastest pace since 1999.,5,"barack-obama,president,democrat,illinois,economy,jobs"
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,3,"adam-hasner,unk,republican,florida,foreign-policy,israel,message-machine-2012"
"In a majority of states, you can now marry freely, but can still be fired for who you love.",3,"mark-pocan,state assembly member, 78th district,democrat,wisconsin,civil-rights,gays-and-lesbians,states"
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,4,"blog-posting,unk,none,unk,candidates-biography"
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",4,"joe-biden,u.s. senator,democrat,delaware,job-accomplishments"
"About half of the presidents have been governors; half of them, senators.",1,"ted-cruz,senator,republican,texas,congress,corrections-and-updates,elections,history,states"
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",3,"hillary-clinton,presidential candidate,democrat,new york,economy,retirement"
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",3,"kathleen-sebelius,u.s. health and human services secretary,democrat,kansas,medicaid"
Says 88 Texas constables have died in the line of duty.,5,"bruce-elfant,constable, travis county, precinct 5,democrat,texas,crime,criminal-justice,history,public-safety,public-service"
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",3,"republican-party-florida,unk,republican,unk,education"
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",3,"dave-yost,ohio auditor,republican,ohio,jobs,labor,unions"
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",5,"alex-sink,unk,democrat,florida,job-accomplishments"
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,3,"hillary-clinton,presidential candidate,democrat,new york,education,technology,women"
The Air Force wants taxpayers to fund a fantasy football league.,1,"blog-posting,unk,none,unk,families,federal-budget,military"
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,4,"government-not-god-pac,unk,none,unk,islam,message-machine-2012"
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,2,"joe-scarborough,host of a morning show on msnbc,none,unk,crime,guns"
Some neighborhood schools are closing.,3,"texas-house-democratic-caucus,unk,democrat,texas,education,state-budget"
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,3,"john-mccain,u.s. senator,republican,arizona,gays-and-lesbians"
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",3,"marco-rubio,u.s. senator,republican,florida,state-budget,taxes"
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",0,"rick-scott,governor,republican,florida,economy,jobs"
Says the U.S. Supreme Court found that Social Security is not guaranteed.,5,"david-jolly,unk,republican,florida,social-security"
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,1,"jon-keyser,unk,republican,colorado,congress,terrorism"
Oregonians have an amazing no-cost way to fight abortion with free political donations,5,"oregon-right-life-pac,politican action committee,none,oregon,abortion,campaign-finance"
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",4,"sean-hannity,radio/tv host,none,unk,foreign-policy,immigration,terrorism"
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",0,"rush-limbaugh,radio host,none,unk,immigration,pundits"
Newt Gingrichs immigration plan offers a new doorway to amnesty.,3,"mitt-romney,former governor,republican,massachusetts,immigration"
Mr. Caprio is a career politician who has never worked in the private sector.,1,"john-robitaille,unk,republican,rhode island,candidates-biography"
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",0,"patricia-morgan,financial adviser,republican,rhode island,disability,labor,states,workers"
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",3,"dave-brat,college professor,republican,virginia,debt,federal-budget,taxes"
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,3,"hillary-clinton,presidential candidate,democrat,new york,campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record"
Donald Trump has said nuclear proliferation is OK.,2,"mark-warner,u.s. senator,democrat,virginia,nuclear"
"Hillary Clinton has taken over $800,000 from lobbyists.",5,"barack-obama,president,democrat,illinois,ethics"
Barack Obama has never even worked in business.,1,"rob-portman,u.s. senator from ohio,republican,ohio,candidates-biography"
Says the Arizona immigration law expressly bans racial profiling.,2,"john-cornyn,senator,republican,texas,immigration"
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,1,"louie-gohmert,u.s. house member,republican,texas,crime,immigration"
"On the VA: Over 300,000 veterans have died waiting for care.",0,"donald-trump,president-elect,republican,new york,health-care,veterans"
Were now spending 42 percent of our economy on government.,3,"mitt-romney,former governor,republican,massachusetts,debates,federal-budget,government-efficiency"
Rob Cornilles supports privatizing Medicare.,0,"democratic-congressional-campaign-committee,unk,democrat,unk,medicare,message-machine-2012"
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",1,"texas-right-life,unk,none,texas,abortion,corrections-and-updates"
We (Democrats) have made steady progress creating jobs and improving our schools.,2,"armond-budish,minority leader in the ohio house of representatives,democrat,ohio,education,government-efficiency,job-accomplishments,jobs"
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,4,"jeff-kruse,state senator,republican,oregon,environment"
"Whether you like to admit it or not, half our general revenue goes to education.",5,"mike-haridopolos,florida senate president,republican,florida,education,state-budget"
Im the only one whos fought against developers draining the Everglades!,1,"kendrick-meek,unk,democrat,florida,environment,message-machine"
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,2,"americans-united-change,unk,none,unk,crime,debt,federal-budget,social-security"
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",2,"paul-skip-stam,n.c. house speaker pro tem,republican,north carolina,gays-and-lesbians,government-regulation,sexuality"
Climate change is directly related to the growth of terrorism.,0,"bernie-s,u.s. senator,independent,vermont,climate-change,terrorism"
The jobs bill includes President Obamas tax on soup kitchens,0,"eric-cantor,house majority leader,republican,virginia,economy,jobs,taxes,workers"
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,0,"paul-ryan,u.s. representative,republican,wisconsin,stimulus"
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,2,"chain-email,unk,none,unk,civil-rights"
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",2,"robert-puente,unk,none,unk,city-government,crime,drugs,government-regulation,marijuana"
We have more illegal immigrants here than we did five years ago.,1,"marco-rubio,u.s. senator,republican,florida,immigration"
Says Rick Perry wrote a letter supporting Hillarycare.,0,"ron-paul,u.s. representative,republican,texas,health-care"
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,1,"blog-posting,unk,none,unk,sports"
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",4,"nancy-pfotenhauer,political strategist,republican,unk,health-care,pundits"
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,3,"gary-johnson,presidential candidate,libertarian,new mexico,immigration"
Says Chris Christie vetoed a jobs package of 30 bills.,2,"stephen-sweeney,state senator,democrat,unk,jobs"
There are already more American jobs in the solar industry than in coal mining.,5,"sheldon-whitehouse,u.s. senator,democrat,rhode island,climate-change,energy,environment,jobs"
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,2,"pat-quinn,governor,democrat,illinois,agriculture,job-accomplishments,message-machine"
Barack Obama is in an economy thats only worsened since hes been president of the United States.,2,"matthew-dowd,commentator,independent,texas,bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers"
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",3,"rudy-giuliani,attorney,republican,new york,immigration"
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",2,"one-new-jersey,unk,democrat,unk,economy,job-accomplishments,jobs"
Says Thomas Eric Duncan came into the United States with an elevated temperature.,1,"darrell-issa,u.s. house of representatives,republican,california,ebola,health-care,public-health,transportation"
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,3,"robert-gibbs,former white house press secretary,democrat,unk,afghanistan"
Gas prices have gone up $2 since Obama took office.,2,"michael-williams,lawyer,republican,texas,energy,gas-prices"
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,5,"alan-grayson,u.s. house of representatives,democrat,florida,marriage,message-machine,women"
Says judges get better benefits at a lower cost than everybody else in the state.,5,"chris-christie,governor of new jersey,republican,new jersey,pensions"
There are a lot of casinos across the country that have gone bankrupt.,5,"robert-jacquard,state representative,democrat,rhode island,bankruptcy,economy,gambling,state-budget,state-finances,states"
Small businesses create 70 percent of the jobs in America.,5,"eric-cantor,house majority leader,republican,virginia,economy,jobs,small-business"
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",2,"americas-health-insurance-plans,trade group representing the health insurance industry,none,washington, d.c.,health-care,medicare"
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",2,"dream-defenders,unk,none,florida,children,crime,education"
If Texas were a country our economy would rank # 10...in the WORLD.,3,"greg-abbott,governor,republican,texas,corrections-and-updates,economy,states"
There are more oil rigs in operation in the United States than the rest of the world combined.,1,"david-cicilline,mayor of providence,democrat,rhode island,corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure"
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",2,"wendy-davis,state senator,democrat,texas,financial-regulation"
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",2,"marcy-kaptur,representative from ohio's ninth congressional district,democrat,ohio,social-security"
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,3,"americans-tax-reform,unk,none,unk,elections,taxes"
The Obama administration shut down the Amber Alert program because of the government shutdown.,1,"tweets,unk,none,unk,children,crime,federal-budget"
The Republicans have 2 percent of the Muslim vote.,3,"tamara-holder,attorney and contributor to fox news,none,illinois ,religion"
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",3,"hank-johnson,u.s. congressman,democrat,georgia,criminal-justice"
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",4,"chain-email,unk,none,unk,energy,environment,military"
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",2,"facebook-posts,social media posting,none,unk,economy,jobs"
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",5,"mike-murphy,political strategist,republican,unk,elections,immigration,pundits"
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,3,"hillary-clinton,presidential candidate,democrat,new york,candidates-biography,congress,foreign-policy,history,terrorism"
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",1,"sean-hannity,radio/tv host,none,unk,pundits,transportation"
Not one Republican has the guts to recognize that climate change is real.,1,"bernie-s,u.s. senator,independent,vermont,cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety"
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",2,"bernie-s,u.s. senator,independent,vermont,economy,income,workers"
David Dewhurst has a record of promoting an income tax.,4,"ted-cruz,senator,republican,texas,taxes"
